model,img_size,num_outputs,time
unet,128,2,6.646849589772744
unet,256,2,16.309796814871305
unet,512,2,58.36211761625687
unet,1024,2,238.67001161480894
unet,1536,2,575.9463180693069
unet,2048,2,1025.870309357596
lap_deblur,128,1,1.5330068911656294
lap_deblur,128,2,2.899716754951099
lap_deblur,256,1,5.414413301071318
lap_deblur,256,2,10.337054422586272
lap_deblur,512,1,20.66249158122752
lap_deblur,512,2,39.730062050394494
lap_deblur,1024,1,82.01852643607867
lap_deblur,1024,2,157.61891385824373
lap_deblur,1536,1,186.57099718150525
lap_deblur,1536,2,358.13698525003866
lap_deblur,2048,1,329.9347769859994
lap_deblur,2048,2,634.7499854965965
lap_srn,128,1,4.598343924720688
lap_srn,128,2,21.344834884794633
lap_srn,256,1,17.289161833206027
lap_srn,256,2,82.36984887453589
lap_srn,512,1,66.70512057767056
lap_srn,512,2,326.2629131657062
lap_srn,768,1,151.0192963250793
lap_srn,768,2,743.3160521252321
